"element_ty,C,80",osmid,"highway,C,80",name,"network,C,80","public_tra,C,80","bench,C,80","operator,C,80","ref_name,C,80","route_ref,C,80","shelter,C,80","tactile_pa,C,80","bicycle_pa,C,80","bus,C,80","lines,C,94","wheelchair,C,80","designatio,C,80","local_ref,C,80","source,C,80","bin,C,80","lastcheck,C,80","passenger_,C,80","name_HVV,C,80","lit,C,80","check_date,C,80","wheelcha_1,C,80","covered,C,80","note,C,96","ref,C,80","departures,C,80","fixme,C,80","removed_re,C,80","network_wi,C,80","network__1,C,80","descriptio,C,80","comment,C,80","name_note,C,80","toilets_wh,C,80","check_da_1,C,80","level,C,80","network_sh,C,80","name_descr,C,89","line,C,80","check_da_2,C,80","amenity,C,80","loc_name,C,80","railway,C,80","name_sourc,C,80","shelter_de,C,80","surface,C,80","nodes,C,80","layer,C,80"
node,357349548,bus_stop,Ostlandstraße (Schule),HVV,platform,,KVG,"Reppenstedt, Ostlandstra?e Schule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,262620087,bus_stop,Schnellenberger Weg,HVV,platform,,KVG,"Reppenstedt, L?neburger Landstra?e",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,357417529,bus_stop,Ostlandstraße Spielplatz,HVV,platform,,KVG,"Reppenstedt, Ostlandstra?e Spielplatz",5013,5202,ASM,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,336407095,bus_stop,Am Lerchenberg,HVV,platform,,KVG,"Reppenstedt, Am Lerchenberg",,yes,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5363848753,bus_stop,Am Schwarzen Berg,HVV,platform,,KVG,"Reppenstedt, Am Schwarzen Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,430344880,bus_stop,Steinweg,HVV,platform,,KVG,"Adendorf, Steinweg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3082975156,bus_stop,Im Gutspark,HVV,platform,no,KVG,"Adendorf, Im Gutspark",5007,5920,no,no,,,,,,,,no,,,,yes,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,
node,430344915,bus_stop,Virchowstraße,HVV,platform,yes,KVG,"Adendorf, Virchowstra?e",5925,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,409100826,bus_stop,Teichaue,HVV,platform,yes,KVG,"Adendorf, Teichaue",,yes,no,,,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312184964,bus_stop,Moorchaussee,HVV,platform,no,KVG,"Adendorf, Moorchaussee",,no,no,,,5007,,,,,,,,,,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3119436266,bus_stop,Kastanienallee,HVV,platform,no,KVG,"Adendorf, Kastanienallee",,no,no,,,,,,,,,,,,,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3119436360,bus_stop,Katzenweg,HVV,platform,no,KVG,"Adendorf, Katzenweg",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7607589705,bus_stop,Friedrich-Ludwig-Jahn-Straße,HVV,platform,yes,KVG,"L?neburg, Friedrich-Ludwig-Jahn-Stra?e",,yes,no,,yes,5012,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,111246659,bus_stop,Rotes Tor,HVV,platform,no,KVG,"L?neburg, Rotes Tor",,no,no,,yes,5012,,,,,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,195848633,bus_stop,Goethestraße,HVV,platform,yes,KVG,"L?neburg, Goethestra?e",,yes,no,,yes,5012,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,208986248,bus_stop,Hagen Wendeplatz,HVV,platform,,KVG,"L?neburg, Hagen (Wendeplatz)",,,,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,317279940,bus_stop,Hopfengarten,HVV,platform,no,KVG,"L?neburg, Hopfengarten",,no,no,,,5012,,,,,no,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268638460,bus_stop,Wielandstraße,HVV,platform,yes,KVG,"L?neburg, Wielandstra?e",,no,no,,yes,5012,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,120036482,bus_stop,Hans-Steffens-Weg,HVV,platform,,KVG,"L?neburg, Hans-Steffens-Weg",,no,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,322053497,bus_stop,Gaußstraße,HVV,platform,,KVG,"L?neburg, Gau?stra?e",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,273712613,bus_stop,Heinrich-Böll-Straße,HVV,platform,,KVG,"L?neburg, Heinrich-B?ll-Stra?e",,yes,no,,,5012,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275907714,bus_stop,Carl-von-Ossietzky-Straße,HVV,platform,yes,KVG,"L?neburg, Carl-von-Ossietzky-Stra?e",,yes,no,,,5012,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3087504050,bus_stop,Otto-Brenner-Straße,HVV,platform,no,KVG,"L?neburg, Otto-Brenner-Stra?e",,no,no,,yes,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,119994939,bus_stop,Flugplatz,HVV,platform,no,KVG,"L?neburg, Flugplatz",,no,no,,,5010,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,373161853,bus_stop,Walter-Bötcher-Straße,HVV,platform,no,KVG,"L?neburg, Walter-B?tcher-Stra?e",,no,no,,yes,5010,limited,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,302304521,bus_stop,Stadtkoppel,HVV,platform,no,KVG,"L?neburg, Auf den Bl?cken",,no,no,,yes,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7043202191,bus_stop,Kurt-Höbold-Straße,HVV,platform,no,KVG,"L?neburg, Kurt-H?bold-Stra?e",,no,no,,,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2843007891,bus_stop,Richard-Brauer-Straße,HVV,platform,no,KVG,"L?neburg, Richard-Brauer-Stra?e",,no,no,,yes,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3699972417,bus_stop,Elso-Klöver-Straße,HVV,platform,no,KVG,"L?neburg, Elso-Kl?ver-Stra?e",,no,no,,,5010,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301866208,bus_stop,Gellersstraße,HVV,platform,no,KVG,"L?neburg, Gellersstra?e",,no,no,,yes,5010,5100,5120,5300,5304,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7043202216,bus_stop,Wilhelm-Fressel-Straße,HVV,platform,no,KVG,"L?neburg, Wilhelm-Fressel-Stra?e",,no,no,,,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5849955401,bus_stop,Große Hof,HVV,platform,,,"Barnstedt, Gro?e Hof",5600,5604,5606,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8526782425,bus_stop,Abzw. Betzendorf,HVV,platform,,,"Abzw. Betzendorf, Barnstedt",5600,5604,5606,yes,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,196043670,bus_stop,Schildsteinweg,HVV,platform,no,KVG,"L?neburg, Schildsteinweg",,no,no,,yes,5003,,,,,yes,,,,,,Kein Kasseler Bord,,Richtung SZ Oedeme / Teufelsk?che,,,,,,,,,,,,,,,,,,,,,,,,
node,976986466,bus_stop,Bauerholzweg,HVV,platform,,,"Barnstedt, Bauerholzweg",5600,5604,5606,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,276968755,bus_stop,Kampweg,HVV,platform,yes,KVG,"Kolkhagen, Kampweg",5604,5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,511089699,bus_stop,Wiesenweg,HVV,platform,,KVG,"Kolkhagen, Wiesenweg",5604,5606,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,976986438,bus_stop,Mühlenberg,HVV,platform,yes,KVG,"Barnstedt, M?hlenberg",5604,5606,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277261028,bus_stop,Bokenkamp,HVV,platform,yes,,"Barnstedt, Bokenkamp",5600,5606,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,302887839,bus_stop,Finanzamt,HVV,platform,no,KVG,"L?neburg, Finanzamt",,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313957909,bus_stop,Auf dem Schmaarkamp,HVV,platform,no,KVG,"L?neburg, Auf dem Schmaarkamp",,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1588318071,bus_stop,Auf der Hude,HVV,platform,no,KVG,"L?neburg, Auf der Hude",5002,ASM,no,no,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2041723022,bus_stop,Tennispark,HVV,platform,yes,KVG,"L?neburg, Tennispark",,yes,no,,yes,,limited,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1305577576,bus_stop,Kiefernweg,HVV,platform,no,KVG,"V?gelsen, Kiefernweg",5009,5404,ASM,no,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,,,,,,,,,,
node,287098772,bus_stop,Brockwinkler Weg,HVV,platform,no,KVG,"L?neburg, Brockwinkler Weg",5009,ASM,no,no,,yes,,limited,,,,,,,,,,,,,,,Stimmt die Lage?,,,,,,,,,,,,,,,,,,,,
node,286287619,bus_stop,Dachtmisser Weg,HVV,platform,,KVG,"V?gelsen, Dachtmisser Weg",5009,5009,5404,ASM,yes,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,0,,,,,,,,,
node,703728543,bus_stop,Niendorfer Weg,HVV,platform,yes,,,5620,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7284444420,bus_stop,Große Straße,HVV,platform,no,,"Artlenburg, Gro?e Stra?e",5900,5903,no,no,,,,limited,,,,yes,,,,,2021-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,
node,311219666,bus_stop,"Göddingen, Wöppenberg",,platform,yes,,,5103,yes,no,,,,,,,,,,,,,2021-04-18,,,,,,,,,,,,"Am Haltestellenschild steht noch ""Ortsmitte"".",,,,,,,,,,,,,,,
node,311219673,bus_stop,"Göddingen, Am Fischteich",,platform,no,,,5103,no,no,,,,,,,,,,,,,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7023976079,bus_stop,Neu Oerzen,,platform,,,,5700,yes,no,,,,,,,,,,,,,,,,,,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,
node,8708023922,bus_stop,"Wendhausen, Im Ort",,platform,yes,,,5110,5362,ASM,yes,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8390221907,bus_stop,"Melbeck, Gymnasium",HVV,platform,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1624952652,bus_stop,Ebstorfer Straße,HVV,platform,,,"Melbeck, Ebstorfer Stra?e",,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,185936322,bus_stop,"Barendorf, Dorfstraße",HVV,platform,,,,5361,6362,AST,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1602107135,bus_stop,Neu Häcklingen,HVV,platform,no,KVG,"L?neburg, Neu H?cklingen",,no,no,,yes,5600,,,,,no,,,,,,,,,,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,
node,5234486266,bus_stop,Am Rischpool,HVV,platform,,,"Melbeck, Am Rischpool",,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,942482191,bus_stop,Robert-Schumann-Straße,HVV,platform,no,KVG,"Adendorf, Robert-Schumann-Stra?e",,yes,yes,,,5006,yes,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,387439300,bus_stop,Königsberger Weg,HVV,platform,yes,KVG,"Adendorf, K?nigsberger Weg",,yes,yes,,,5006,yes,,,,yes,,,,yes,2020-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,445774035,bus_stop,Kornblumenweg,HVV,platform,no,KVG,"Adendorf, Kornblumenweg",,no,no,,,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,302900001,bus_stop,Röthenweg,HVV,platform,no,KVG,"Adendorf, R?thenweg",,no,yes,,,,yes,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313954414,bus_stop,Zeltberg,HVV,platform,no,KVG,"L?neburg, Zeltberg",,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7510268775,bus_stop,Dorfplatz,HVV,platform,yes,KVG,"V?gelsen, Dorfplatz",5002,5009,5404,ASM,no,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,0,,,,,,,,,
node,287436861,bus_stop,Am Stadtberg,HVV,platform,yes,KVG,"V?gelsen, Am Stadtberg",5009,5404,ASM,yes,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,,,,,,,,,,
node,4065795354,bus_stop,Pumpenstation,HVV,platform,,KVG,"L?neburg, Pumpenstation",,,,,yes,,limited,,,,,,,,,,,,,,,"Position nur gesch?tzt, bitte Korrigieren",,,,,,,,,,,,,,,,,,,,,
node,286287601,bus_stop,Friedhofsweg,HVV,platform,no,KVG,"V?gelsen, Friedhofsweg",5404,no,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,,,,,,,,,,,,
node,319992028,bus_stop,Heimathaus,HVV,platform,no,,"Bleckede, Heimathaus",5102,5104,5111,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,355298835,bus_stop,Marschweg,HVV,platform,,,"Bleckede, Marschweg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275652358,bus_stop,"Bleckede, Auf dem Kamp",,platform,no,,,5101,5103,5104,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,319969924,bus_stop,Saatbau,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1801632891,bus_stop,Fähranleger,,platform,,,,5101,5104,5111,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1838158752,bus_stop,Buendorf,,platform,,,"Dahlenburg, Buendorf",5301,5302,5303,5304,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1432208149,bus_stop,Quickborn,,platform,,,"Dahlenburg, Quickborn",5103,5300,5362,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6445357812,bus_stop,"Nindorf bei Bleckede, L222",,platform,,,,5101,5103,5301,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,320064688,bus_stop,"Bleckede, Dahlenburger Straße",,platform,no,,,5101,5103,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,319974894,bus_stop,"Bleckede, Waldfrieden",,platform,,,,5103,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,747323812,bus_stop,"Neu Wendischthun, Abzweig",,platform,,,,512,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,747323812,bus_stop,Neu Wendischthun,,platform,,,,512,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,566592806,bus_stop,Vor der Westermarsch,HVV,platform,,KVG,"Bardowick, Vor der Westermarsch",5002,5402,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2307579589,bus_stop,"Artlenburg, Elbdeich",,platform,,,,5903,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3019763968,bus_stop,Scharnebecker Straße,HVV,platform,no,,,5904,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3749693091,bus_stop,"Rullstorf, Am Neetzekanal",HVV,stop_position,no,,,5104,5901,no,yes,,,,,,,,,,,,,2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,
node,278806832,bus_stop,"Vastorf, Abzweigung Bahnhof",,platform,no,,,5361,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1839897577,bus_stop,Denkmal,HVV,platform,yes,,"Brietlingen, Denkmal",5900,5903,5904,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7623285536,bus_stop,"Brietlingen, Ort",,platform,yes,,,5900,5903,5904,yes,no,,,,,,,,,,,,,2021-09-04,,,,,,,,,,,,,,,,,,,,,,,,,
node,2481243764,bus_stop,"Walmsburg, Bruchdorfer Straße",,platform,,,,5101,5131,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7611446379,bus_stop,"Garze, Große Straße 29",,platform,yes,,,5104,5111,5152-ASM,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,846062334,bus_stop,"Nutzfelde, Am Walde",,platform,yes,,,5120,5925,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2332372281,bus_stop,Vrestorfer Weg,HVV,platform,yes,KVG,"L?neburg, Vrestorfer Weg",,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,393141179,bus_stop,Thiessendörper Weg,HVV,platform,no,KVG,"Bardowick, Thiessend?rper Weg",,no,no,,,5404,yes,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8479006739,bus_stop,Am Diemel,HVV,platform,,,"Melbeck, Am Diemel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,578361745,bus_stop,Ätzberg,HVV,platform,,,"Melbeck, ?tzberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2269708054,bus_stop,"Hittbergen, Roggenberg",,platform,yes,,,5102,5917,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301567834,bus_stop,Södergellerser Weg,Hamburger Verkehrsverbund,platform,,KVG,"Westergellersen, S?dergellerser Weg",5200,5201,5202,5203,yes,,,yes,,,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,HVV,,,,,,,,
node,571528159,bus_stop,Hauptstraße (L 216),Hamburger Verkehrsverbund,platform,,KVG,"Westergellersen, Hauptstra?e L 216",5200,5201,5202,5203,yes,,,yes,,,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,HVV,,,,,,,,
node,277251847,bus_stop,Teufelsküche,HVV,platform,yes,KVG,"L?neburg, Teufelsk?che",,yes,no,,yes,5003,,,,,no,,,,,2020-12-28,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266917061,bus_stop,Im Dorfe,HVV,platform,,KVG,"Kirchgellersen, Im Dorfe",5200,5201,5202,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3133820777,bus_stop,Neu Süttorf,HVV,platform,,KVG,"Neu S?ttorf Ortsmitte, Neetze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,322526004,bus_stop,Am Dorfplatz,HVV,platform,yes,KVG,"Neetze, Am Dorfplatz",5100,5110,5111,5114,yes,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Haltestelle ist am Schild mit ""Ortsmitte"" benannt ..",,,,,,,
node,767341122,bus_stop,"Sülbeck, An den Eichen (L 221)",,platform,,,,5100,5110,5362,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,566580956,bus_stop,Bühringsmoor,HVV,platform,,KVG,"Bardowick, B?hringsmoor",5002,5403,ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8723627995,bus_stop,Radbrucher Weg,HVV,platform,yes,KVG,"Bardowick, Radbrucher Weg",5002,5403,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,566580954,bus_stop,Wendeplatz,HVV,platform,,KVG,"Bardowick, Wendeplatz",5002,,,,,,,,,,,,,,,,,,,,,Bitte diese platform/stop_position nochmal pr?fen!,,,,,,,,,,,,,,,,,,,,,
node,448194685,bus_stop,Witwenkamp,HVV,platform,,KVG,"Bardowick, Witwenkamp",5002,5403,ASM,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,319008950,bus_stop,Ernst-Braune-Straße,HVV,platform,yes,KVG,"L?neburg, Ernst-Braune-Stra?e",,yes,no,,yes,5003,,,,,yes,,,,,2020-12-28,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1277149593,bus_stop,"Hittbergen, Kirche",,platform,,,,5102,5900,5901,5917,5152-RufMobil,ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5249245058,bus_stop,Leuphana,HVV,platform,no,KVG,"L?neburg, Leuphana",,no,no,,yes,5001,5600,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,5001,,,,,,,,
node,8526739908,bus_stop,Ort,HVV,platform,,KVG,"Neu Wendhausen, Ort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4363688126,bus_stop,"Neu Neetze, Am Milchberg",,platform,,,,5111,5152-Rufmobil,5823-ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1286093175,bus_stop,"Neu Neetze, Birkenhof",,platform,,,,5111,5152-Rufmobil,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3751608111,bus_stop,"Bleckeder Moor, Abzweigung",,platform,,,,5111,5152-Rufmobil,5823-ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1897714546,bus_stop,"Karze, Auf dem Weel",,platform,,,,5104,5111,5152-ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2406049718,bus_stop,Große Straße 71,HVV,platform,no,,"Garze, Gro?e Stra?e 71",5104,5111,no,no,,,,,,,,,,,,,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2406049696,bus_stop,Große Straße 3,HVV,platform,no,,"Garze, Gro?e Stra?e 3",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,346183826,bus_stop,Lüner Rennbahn,HVV,platform,,KVG,"L?neburg, L?ner Rennbahn",,,,,yes,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1330162044,bus_stop,Schlachthof,HVV,platform,no,KVG,"L?neburg, Schlachthof",,no,no,,yes,5007,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,104072787,bus_stop,Auf den Blöcken,HVV,platform,no,KVG,"L?neburg, Auf den Bl?cken",,no,no,,,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274859677,bus_stop,"Bleckede, Rathaus",,platform,,,,5101,5103,5104,ASM,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,425907797,bus_stop,Töpferdamm,HVV,platform,,,,,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,386927750,bus_stop,"Walmsburg, Kateminer Straße",,platform,,,,5101,5131,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3324922587,bus_stop,"Barskamp, Markt",HVV,platform,yes,,,5101,5103,5301,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,320862727,bus_stop,"Bleckede, Elbweg",,platform,,,,5101,5104,5131,5151,5301,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2936483856,bus_stop,"Alt Garge, Waldbad",,platform,,,,5101,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3112209667,bus_stop,Brennbusch,HVV,platform,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3324922573,bus_stop,Walmsburger Straße,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3371516337,bus_stop,Turnhalle,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,354506387,bus_stop,,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,302553134,bus_stop,"Bleckede, Schiedenitzweg",,platform,,,,5101,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2481243765,bus_stop,Schieringen,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1075586972,bus_stop,"Reeßeln, Abzweigung",,platform,,,,5101,5131,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2377705328,bus_stop,"Breetze, Bokelstraße",,platform,,,,5103,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,320131115,bus_stop,"Breetze, Ziegelei",,platform,,,,5103,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,297191245,bus_stop,"Artlenburg, Ost",HVV,stop_position,,KVG,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2973160630,bus_stop,Bessemerstraße,HVV,platform,,KVG,"L?neburg, Bessemerstra?e",5005,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1459111220,bus_stop,SZ Kaltenmoor,HVV,platform,,KVG,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,582819370,bus_stop,Rettmer (Mitte),HVV,platform,no,KVG,"L?neburg, Rettmer Mitte",5203,5606,5700,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,
