,bus,highway,lines,name,network,operator,public_transport,ref_name,shelter,wheelchair,latitude,longitude,id,bench,route_ref,tactile_paving,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,local_ref,covered,note,ref,departures_board,fixme,comment,check_date:tactile_paving,toilets:wheelchair,bicycle_parking,check_date:bench,source,line,surface;;;;;;;;;;;;;;;;;;
0,yes,bus_stop,5605;",Universitätsallee,HVV,KVG,platform,""Lüneburg, Scharnhorststraße (Ost)"",no,yes,53.2300910,10.4052614,270544778,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"1,,bus_stop,,Bei Mönchsgarten,HVV,KVG,platform,""Lüneburg, Bei Mönchsgarten"",no,limited,53.2529278,10.3904939,293938387,no,5009";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"46,yes,bus_stop,,Am Sande,HVV,,platform,""Lüneburg, Am Sande C"",yes,yes,53.2476477,10.4111643,364332237,yes,5001";5010;5012;5100;5110;5361;"5900,no,yes,,,""Lüneburg, Am Sande (Bereich C)"",yes,,,C,,,,,,,,,,,,,";;;;;;;;;;;;
"47,yes,bus_stop,,Am Sande,HVV,,platform,""Lüneburg, Am Sande B"",no,yes,53.2479237,10.4113761,364332242,no,5002";5005;5009;5010;5013;5014;"5200,no,yes,,,""Lüneburg, Am Sande (Bereich B)"",yes,,Kein Kasseler Bord vorhanden,B,,,,,,,,,,,,,";;;;;;;;;;;;
48,yes,bus_stop,5011;5012;5600;"5605,Blücherstraße,HVV,KVG,platform,""Lüneburg, Blücherstraße"",yes,,53.2311691,10.4000814,370660953,yes,,yes,,,,,,,,,yes,,,,,,,,,,,,";;;;;;;;;;;;;;;
"49,,bus_stop,,Imkerstieg,HVV,KVG,platform,""Lüneburg, Imkerstieg"",yes,,53.2746341,10.3887620,386915979,yes,5005";ASM,no,yes,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
50,yes,bus_stop,5006;" 5007,Neue Straße,HVV,KVG,platform,""Adendorf, Neue Straße"",no,,53.2745250,10.4313280,387439258,no,,no,,,,,,2021-05-22,,,,Position eingemessen,618398,,,,,,,,,,";;;;;;;;;;;;;;;;;
"51,,bus_stop,,Danziger Weg,HVV,KVG,platform,""Adendorf, Danziger Weg"",yes,,53.2816633,10.4383568,387439282,yes,,yes,,,,,no,2021-03-06,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"52,yes,bus_stop,,MTV-Platz,HVV,KVG,platform,""Lüneburg, MTV-Platz"",yes,,53.2353498,10.4049563,387487106,yes,,no,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"53,yes,bus_stop,5011,Kurpark,HVV,KVG,platform,""Lüneburg, Kurpark"",no,,53.2384105,10.4043801,387487107,yes,,no,yes,,,,no,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"54,yes,bus_stop,,Kurpark,HVV,KVG,platform,""Lüneburg, Kurpark"",yes,,53.2381017,10.4046576,387487108,yes,,yes,yes,,,,no,,Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"55,yes,bus_stop,,Uelzener Straße (Kurzentrum),HVV,KVG,platform,""Lüneburg, Uelzener Straße (Kurzentrum)"",no,yes,53.2404345,10.4044333,387487109,yes,,no,yes,,,,no,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"56,yes,bus_stop,,Munstermannskamp,HVV,KVG,platform,""Lüneburg, Munstermannskamp"",yes,,53.2321030,10.4052689,389040610,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"57,yes,bus_stop,""5007, 5700"",Ginsterweg,HVV,KVG,platform,""Lüneburg, Ginsterweg"",no,,53.2326736,10.3959836,409745030,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
58,yes,bus_stop,5011;"5600,Am Schwalbenberg,HVV,KVG,platform,""Lüneburg, Am Schwalbenberg"",yes,,53.2459133,10.4223308,410742086,yes,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"59,yes,bus_stop,5011,Am Schwalbenberg,HVV,KVG,platform,""Lüneburg, Am Schwalbenberg"",no,,53.2460854,10.4222754,410742087,no,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
60,yes,bus_stop,5002;5003;5005;5007;5009;5010;5011;5013;5014;5015;5200;5202;5405;5600;5601;5605;5606;5700;"5702,Wallstraße (Theater),HVV,KVG,platform,""Lüneburg, Wallstraße (Theater)"",yes,,53.2456820,10.4072015,410750968,yes,,yes,yes,,,,yes,,,,,,,,,,,,,,,,"
61,yes,bus_stop,5003;5007;5011;"5300,Postamt,HVV,KVG,platform,""Lüneburg, Postamt"",yes,,53.2429593,10.4038332,410750969,yes,,no,yes,,,,yes,2021-06-13,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
62,yes,bus_stop,5011;5600;5601;5605;"5920,Uelzener Straße (Kurzentrum),HVV,KVG,platform,""Lüneburg, Uelzener Straße (Kurzentrum)"",yes,yes,53.2410330,10.4041302,410750970,yes,,yes,yes,,,,,,Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;;;;;;
"63,yes,bus_stop,5011,MTV-Platz,HVV,KVG,platform,""Lüneburg, MTV-Platz"",no,,53.2346178,10.4048097,410750971,no,,no,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
64,yes,bus_stop,5011;5012;5600;"5605,Munstermannskamp,HVV,KVG,platform,""Lüneburg, Munstermannskamp"",no,,53.2319862,10.4050820,410750972,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
"65,yes,bus_stop,5201,Stadttheater,HVV,KVG,platform,""Lüneburg, Stadttheater"",yes,yes,53.2439859,10.4076949,414134112,yes,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
66,yes,bus_stop,5003;5007;5011;"5300,Postamt,HVV,KVG,platform,""Lüneburg, Postamt"",yes,,53.2425241,10.4042123,414134114,yes,,yes,no,,,,,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
"67,yes,bus_stop,,Sültenweg,HVV,KVG,platform,""Lüneburg, Sültenweg"",no,yes,53.2441920,10.3929476,414134154,,5015";5919;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"68,yes,bus_stop,,Sültenweg,HVV,KVG,platform,""Lüneburg, Sültenweg"",no,yes,53.2440485,10.3931646,414134156,,5015";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"69,,bus_stop,,Am Grasweg,HVV,KVG,platform,""Lüneburg, Am Grasweg"",no,,53.2461189,10.3881566,414137468,no,5015";5919;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"70,yes,bus_stop,5919,Jägerstraße,HVV,KVG,platform,""Lüneburg, Jägerstraße"",no,,53.2489566,10.3847644,414154230,no,,no,yes,,,,,,,,,,,no,,,,,,,,,";;;;;;;;;;;;;;;;;;
71,yes,bus_stop,5013;5200;5202;"5919,Johanna-Stegen-Straße,HVV,KVG,platform,""Lüneburg, Johanna-Stegen-Straße"",yes,yes,53.2494991,10.3874009,414160019,yes,,no,yes,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
72,,bus_stop,5013;5202;"5919,Vor dem Neuen Tore,HVV,KVG,platform,""Lüneburg, Vor dem Neuen Tore"",no,,53.2500778,10.3924213,414160021,no,,no,,,,,,2020-12-29,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
73,yes,bus_stop,5009;"5919,Dörnbergstraße,HVV,KVG,platform,""Lüneburg, Dörnbergstraße"",no,limited,53.2511306,10.3938125,414165032,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"74,,bus_stop,,Witzendorffstraße,HVV,KVG,platform,""Lüneburg, Witzendorffstraße"",no,yes,53.2565779,10.3923654,414165037,,5005";5402;5404;ASM,,,,,,,,,,,,,,Position ist nicht exakt ..,,,,,,,,;;;;;;;;;;;;;;;
75,yes,bus_stop,5005;"5919,Ebelingweg,HVV,KVG,platform,""Lüneburg, Ebelingweg"",no,,53.2614652,10.3911893,414167814,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
76,yes,bus_stop,5005;"5919,Ebelingweg,HVV,KVG,platform,""Lüneburg, Ebelingweg"",no,,53.2608777,10.3910981,414167815,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"77,,bus_stop,,Naruto-Straße,HVV,KVG,platform,""Lüneburg, Naruto-Straße"",no,,53.2693964,10.3852786,414191748,,5005";5919;ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"78,,bus_stop,,Krähornsberg,HVV,KVG,platform,""Lüneburg, Krähornsberg"",,,53.2706226,10.3867792,414191934,,5005";5919;ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"79,,bus_stop,,Krähornsberg,HVV,KVG,platform,""Lüneburg, Krähornsberg"",,,53.2706510,10.3859737,414191937,,5005";5919;ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"80,,bus_stop,,Imkerstieg,HVV,KVG,platform,""Lüneburg, Imkerstieg"",no,,53.2750073,10.3888705,414237484,no,5005";ASM,no,no,,,,no,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"81,,bus_stop,,Teilfeld,HVV,KVG,platform,""Lüneburg, Teilfeld"",yes,yes,53.2794573,10.3895463,414237514,yes,5005";ASM,no,yes,,,,no,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
82,yes,bus_stop,5002;5405;5402;"5404,Wilhelm-Hänel-Weg,HVV,KVG,platform,""Lüneburg, Wilhelm-Hänel-Weg"",yes,,53.2699592,10.4044742,414576607,yes,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
"83,,bus_stop,,Naruto-Straße,HVV,KVG,platform,""Lüneburg, Naruto-Straße"",yes,yes,53.2693031,10.3852311,415596175,,5005";ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
84,yes,bus_stop,5005;"5919,Am Wildgehege,HVV,KVG,platform,""Lüneburg, Am Wildgehege"",,,53.2686373,10.3891011,415596176,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"85,,bus_stop,,Witzendorffstraße,HVV,KVG,platform,""Lüneburg, Witzendorffstraße"",yes,,53.2567251,10.3921818,415596177,,5005";5404;ASM,,,,,,,,,,,,,,Position ist nicht exakt ..,,,,,,,,;;;;;;;;;;;;;;;;
86,yes,bus_stop,5005;5402;"5405,Laffertstraße,HVV,KVG,platform,""Lüneburg, Laffertstraße"",,,53.2555130,10.3930618,415596178,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
"87,yes,bus_stop,,Schomakerstraße,HVV,KVG,platform,""Lüneburg, Schomakerstraße"",no,,53.2540821,10.3996894,415596179,no,5005";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"88,yes,bus_stop,""5005, 5013"",Am Springintgut,HVV,KVG,platform,""Lüneburg, Am Springintgut"",no,,53.2521255,10.4002528,415596180,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
89,yes,bus_stop,5005;5009;5013;5200;"5202,Am Graalwall,HVV,KVG,platform,""Lüneburg, Am Graalwall"",yes,,53.2509053,10.4027651,415596181,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;
90,yes,bus_stop,5002;5005;5009;5010;5013;5014;5200;5202;"5405,Neue Sülze,HVV,KVG,platform,""Lüneburg, Neue Sülze"",yes,,53.2478008,10.4040892,415596182,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;
91,yes,bus_stop,5002;5005;5009;5010;5013;5014;5015;5200;5202;"5405,Lambertiplatz,HVV,KVG,platform,""Lüneburg, Lambertiplatz"",yes,yes,53.2456516,10.4031072,415596183,yes,,no,yes,,,,yes,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;
