,element_type,osmid,x,y,geometry,passengers,cluster,name
153,node,1348734468,10.4105509,53.2603115,POINT (10.4105509 53.2603115),3,12,Auf dem Schmaarkamp
154,node,1348734473,10.4136152,53.2583328,POINT (10.4136152 53.2583328),0,,Auf der Hude
155,node,1349023125,10.3849925,53.2598361,POINT (10.3849925 53.2598361),5,12,Tennispark
156,node,1349023151,10.3866216,53.256493,POINT (10.3866216 53.256493),2,12,Brockwinkler Weg
157,node,1580923936,10.4055348,53.2094134,POINT (10.4055348 53.2094134),5,6,Neu Häcklingen
158,node,1757030062,10.4069669,53.2650556,POINT (10.4069669 53.2650556),2,12,Zeltberg
159,node,1781853981,10.3675583,53.2652064,POINT (10.3675583 53.2652064),2,12,Pumpenstation
160,node,2015120617,10.4260987,53.2788106,POINT (10.4260987 53.2788106),2,11,Vrestorfer Weg
161,node,2328939473,10.384344,53.2382175,POINT (10.384344 53.2382175),9,8,Teufelsküche
162,node,2632455483,10.388196,53.23946,POINT (10.388196 53.23946),8,6,Ernst-Braune-Straße
163,node,2745085368,10.4010697,53.2300356,POINT (10.4010697 53.2300356),5,0,Leuphana
164,node,2848418354,10.4227875,53.2748865,POINT (10.4227875 53.2748865),8,11,Lüner Rennbahn
165,node,2848418355,10.4249277,53.2727519,POINT (10.4249277 53.2727519),9,11,Schlachthof
166,node,2878572398,10.4613219,53.2384976,POINT (10.4613219 53.2384976),8,7,Auf den Blöcken
167,node,2973160587,10.4128482,53.2697777,POINT (10.4128482 53.2697777),1,9,Bessemerstraße
168,node,3007498666,10.4362805,53.2390035,POINT (10.4362805 53.2390035),6,13,SZ Kaltenmoor
169,node,3008184424,10.3697803,53.2139069,POINT (10.3697803 53.2139069),4,2,Rettmer (Mitte)
170,node,3010809632,10.4233448,53.2609955,POINT (10.4233448 53.2609955),6,11,Kloster Lüne
171,node,3046813394,10.3977854,53.2356105,POINT (10.3977854 53.2356105),5,2,Hasenburger Berg
172,node,3046813396,10.3988728,53.2370178,POINT (10.3988728 53.2370178),4,2,Zentralfriedhof
173,node,3056385717,10.3850037,53.2362354,POINT (10.3850037 53.2362354),7,8,Am Eiskeller
174,node,3056385718,10.3884282,53.2356314,POINT (10.3884282 53.2356314),10,1,Auf dem Knieberg
175,node,3056385719,10.3931163,53.235028,POINT (10.3931163 53.235028),7,6,Heidkamp
176,node,3056385720,10.3876742,53.2375288,POINT (10.3876742 53.2375288),4,6,Meinekenhop
177,node,3056385721,10.38936,53.2358785,POINT (10.38936 53.2358785),5,6,Ringstraße
178,node,3109981532,10.4016865,53.241219,POINT (10.4016865 53.241219),4,2,Soltauer Straße (Kurzentrum)
179,node,3136293741,10.4094815,53.2457263,POINT (10.4094815 53.2457263),9,2,Clamartpark
180,node,3191900781,10.3973858,53.2331247,POINT (10.3973858 53.2331247),4,13,Hasenburger Schule
181,node,3191932659,10.3809308,53.2237159,POINT (10.3809308 53.2237159),14,1,Rosenkamp Wendeplatz
182,node,3191932961,10.3918692,53.2298285,POINT (10.3918692 53.2298285),3,6,Övelgönner Weg
183,node,3227603542,10.4086651,53.2627692,POINT (10.4086651 53.2627692),7,12,Königsberger Straße
184,node,3233157084,10.4180528,53.2668709,POINT (10.4180528 53.2668709),2,9,Am Graben
185,node,3233157086,10.4098875,53.2716586,POINT (10.4098875 53.2716586),2,9,Böcklerstraße/TÜV
186,node,3233157088,10.4189258,53.2623711,POINT (10.4189258 53.2623711),3,9,Eisenbahnbrücke
187,node,3233157090,10.4181483,53.2646288,POINT (10.4181483 53.2646288),2,9,Goseburgstraße
188,node,3233157092,10.4165325,53.2608424,POINT (10.4165325 53.2608424),3,9,Ilmenaucenter
189,node,3233157094,10.4169116,53.2561248,POINT (10.4169116 53.2561248),1,9,Konrad-Zuse-Allee
190,node,3241135968,10.4232857,53.2813577,POINT (10.4232857 53.2813577),3,11,EDEKA
191,node,3273986768,10.3863261,53.2570492,POINT (10.3863261 53.2570492),0,,Brockwinklerweg
192,node,3338569132,10.4132004,53.2387357,POINT (10.4132004 53.2387357),3,5,An der Roten Bleiche (Universität)
193,node,3338569134,10.4137315,53.2420275,POINT (10.4137315 53.2420275),4,5,Feldstraße (Universität)
194,node,3348003479,10.3982108,53.2619427,POINT (10.3982108 53.2619427),1,13,GHS Kreideberg
195,node,3348003480,10.3913545,53.2558772,POINT (10.3913545 53.2558772),5,12,Herderschule
196,node,3348003482,10.4164645,53.2323864,POINT (10.4164645 53.2323864),8,13,Spechtsweg
197,node,3350545356,10.4842206,53.2356735,POINT (10.4842206 53.2356735),9,7,Kanalbrücke
198,node,3770564722,10.3723079,53.2104621,POINT (10.3723079 53.2104621),2,0,Veilchenring
199,node,6104223415,10.4329656,53.2528511,POINT (10.4329656 53.2528511),5,3,Tartuer Platz
200,node,7061659845,10.4451221,53.2312612,POINT (10.4451221 53.2312612),7,10,Konrad-Adenauer-Straße Ost
