,element_type,osmid,highway,name,network,public_transport,geometry,bench,operator,ref_name,route_ref,shelter,tactile_paving,bicycle_parking,bus,lines,wheelchair,designation,local_ref,source,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,covered,note,ref,departures_board,fixme,removed:ref_name,network:wikidata,network:wikipedia,description,comment,name:note,toilets:wheelchair,check_date:tactile_paving,level,network:short,name:description,line,check_date:bench,amenity,loc_name,railway,name:source,shelter:description,surface,nodes,layer,x,y
141,node,262253493,bus_stop,Lambertiplatz,HVV,platform,POINT (10.4031072 53.2456516),yes,KVG,"Lüneburg, Lambertiplatz",,yes,no,,yes,5002;5005;5009;5010;5013;5014;5015;5200;5202;5405,yes,,,,yes,,,,yes,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4031072,53.2456516
146,node,262229788,bus_stop,Rathaus,HVV,platform,POINT (10.4068106 53.2506572),,KVG,"Lüneburg, Rathaus",,yes,,,yes,5002;5005;5009;5010;5013;5014;516;5200;5202,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4068106,53.2506572
147,node,181308509,bus_stop,Kefersteinstraße (UNI),HVV,platform,POINT (10.4102138 53.2406193),no,KVG,"Lüneburg, Kefersteinstraße/Universität",,no,no,,yes,5001;5012,yes,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4102138,53.2406193
149,node,109895066,bus_stop,Gut Willerding,HVV,platform,POINT (10.4566119 53.225116),,KVG,"Wendisch Evern, Gut Willerding",,no,,,,5361; 5362; 5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4566119,53.225116
151,node,385545644,bus_stop,Bahnhof,HVV,platform,POINT (10.4336107 53.2000625),no,KVG,"Deutsch Evern, Bahnhof",,no,yes,,yes,5601; 5605; 5606,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4336107,53.2000625
153,node,385545626,bus_stop,Von-Kleist-Weg,HVV,platform,POINT (10.4311623 53.1971633),,KVG,"Deutsch Evern, V.-Kleist-Weg",,,,,yes,5601; 5605; 5606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4311623,53.1971633
155,node,1834313719,bus_stop,"Deutsch Evern, Fritz-Reuter-Straße",,platform,POINT (10.4284361 53.1939183),no,,,5020;5606,no,yes,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4284361,53.1939183
157,node,1834313713,bus_stop,"Deutsch Evern, Friedhof",,platform,POINT (10.4232358 53.1924397),yes,,,5020;5606,yes,yes,,yes,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4232358,53.1924397
159,node,420381006,bus_stop,Deutsch Everner Weg,HVV,platform,POINT (10.4159088 53.1860963),no,KVG,"Melbeck, Deutsch Everner Weg",,no,no,,,5605; 5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4159088,53.1860963
160,node,385545545,bus_stop,"Deutsch Evern, An der Ilmenau",,platform,POINT (10.4196648 53.1957057),yes,,,5020;5606;ASM,yes,no,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4196648,53.1957057
162,node,393415825,bus_stop,"Deutsch Evern, Wandelfeld",,platform,POINT (10.4201711 53.1978557),yes,,,5020;5606,yes,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4201711,53.1978557
164,node,385545543,bus_stop,"Deutsch Evern, Finkenstieg",,platform,POINT (10.4204929 53.2018114),,,,5020;5606,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4204929,53.2018114
166,node,385545536,bus_stop,"Deutsch Evern, Petersberg",,platform,POINT (10.4170104 53.2056615),,,,5020;5606,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4170104,53.2056615
168,node,272618493,bus_stop,"Deutsch Evern, Am Tiergarten",,platform,POINT (10.4186211 53.2073704),no,,,5606,no,no,,yes,,,,,,,,,,,,,,,,,,"Deutsch Evern, Nordausgang",,,,,,,,,,,,,,,,,,,,,10.4186211,53.2073704
170,node,7462422450,bus_stop,"Deutsch Evern, Tiergartenstraße",,platform,POINT (10.4293826 53.2061751),,,,5606;ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4293826,53.2061751
173,node,309179087,bus_stop,"Deutsch Evern, Birkenweg",,platform,POINT (10.4432816 53.2042662),yes,,,5020;5606,no,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4432816,53.2042662
175,node,5254285882,bus_stop,Schützenstraße,HVV,platform,POINT (10.4452134 53.2035664),,KVG,"Deutsch Evern, Schützenstraße",,,,,yes,5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4452134,53.2035664
178,node,2316338604,bus_stop,Im Alten Dorfe,HVV,platform,POINT (10.2968669 53.2083215),yes,KVG,"Südergellersen, Im Alten Dorfe",5201;5203,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2968669,53.2083215
180,node,181396837,bus_stop,Am Kreideberg,HVV,platform,POINT (10.4042363 53.255164),,KVG,"Lüneburg, Am Kreideberg",,no,no,,yes,5014,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4042363,53.255164
181,node,181396824,bus_stop,Stöteroggestraße (Süd),HVV,platform,POINT (10.4020549 53.2556211),,KVG,"Lüneburg, Stöteroggestraße (Süd)",,no,no,,yes,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4020549,53.2556211
182,node,500905961,bus_stop,Boizenburger Straße,HVV,platform,POINT (10.3989629 53.2574691),no,KVG,"Lüneburg, Boizenburger Straße",,no,no,,yes,5014,limited,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3989629,53.2574691
183,node,1029618352,bus_stop,Thorner Straße (West),HVV,platform,POINT (10.3943921 53.2585943),,KVG,"Lüneburg, Ostpreußenring",,no,,,yes,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3943921,53.2585943
184,node,312506373,bus_stop,Thorner Platz,HVV,platform,POINT (10.3997927 53.2595982),yes,KVG,"Lüneburg, Thorner Platz",,no,no,,,5014; 5405; 5404; 5919; 5402,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3997927,53.2595982
185,node,253248083,bus_stop,Salzwedeler Straße,HVV,platform,POINT (10.4032549 53.2606612),no,KVG,"Lüneburg, Salzwedeler Straße",,no,no,,,5014,,,,,yes,,,,no,2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4032549,53.2606612
186,node,312510075,bus_stop,Elbinger Straße,HVV,platform,POINT (10.4028514 53.2627146),,KVG,"Lüneburg, Elbinger Straße",,no,,,,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4028514,53.2627146
187,node,312510076,bus_stop,Dessauer Straße,HVV,platform,POINT (10.401462 53.2641491),no,KVG,"Lüneburg, Dessauer Straße",5014;ASM,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.401462,53.2641491
188,node,534870775,bus_stop,Magdeburger Straße,HVV,platform,POINT (10.3993732 53.266558),no,KVG,"Lüneburg, Magdeburger Straße",,no,yes,,,5014,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3993732,53.266558
189,node,534870781,bus_stop,Stöteroggestraße (Nord),HVV,platform,POINT (10.3993537 53.2644566),yes,KVG,"Lüneburg, Stöteroggestraße (Nord)",5014;ASM,yes,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3993537,53.2644566
198,node,2537095304,bus_stop,Brücke,HVV,platform,POINT (10.3810417 53.331609),,KVG,"Wittorf, Brücke",5405,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3810417,53.331609
199,node,408449519,bus_stop,Hasenburger Weg,HVV,platform,POINT (10.3832526 53.2287752),,KVG,"Lüneburg, Hasenburger Weg",5007;5920;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3832526,53.2287752
201,node,1678365436,bus_stop,Wallstraße,HVV,platform,POINT (10.3864893 53.3009499),no,KVG,"Bardowick, Wallstraße",5002;5402;5405,no,no,,yes,,,,,,,,,,,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3864893,53.3009499
203,node,312185027,bus_stop,Elba,HVV,platform,POINT (10.4271323 53.2961666),no,KVG,"Adendorf, Elba",,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4271323,53.2961666
204,node,9028646324,bus_stop,Landwehrplatz,,platform,POINT (10.3574147 53.2479717),,,"Reppenstedt, Landwehrplatz",5013;5200;5202;ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3574147,53.2479717
206,node,443886412,bus_stop,Bardowicker Straße,,platform,POINT (10.5031696 53.2949054),no,,"Scharnebeck, Bardowicker Straße",5104;5110;5901,no,no,,,,,,,,,,,,,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5031696,53.2949054
207,node,344892589,bus_stop,Lübbelau,HVV,platform,POINT (10.4989646 53.2938205),,,"Scharnebeck, Lübbelau",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4989646,53.2938205
208,node,286511203,bus_stop,Finkenweg,HVV,platform,POINT (10.3619305 53.2704586),no,PVG,,5009;5404;ASM,no,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,,,,,,,,,,,,,10.3619305,53.2704586
209,node,314645636,bus_stop,"Lemgrabe, Am Hasenberg",,platform,POINT (10.7044397 53.1711381),,,,5303;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7044397,53.1711381
210,node,1599089598,bus_stop,Lilienthalstraße,HVV,platform,POINT (10.4599879 53.2437212),no,KVG,"Lüneburg, Lilientalstraße",5100;5120;5010,no,no,,,5100;5120;5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4599879,53.2437212
212,node,1599748806,bus_stop,Von-Stern-Straße,HVV,platform,POINT (10.4625961 53.245733),no,KVG,"Lüneburg, Von-Stern-Straße",5010;5100;5120,no,no,,,5010;5100;5120,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4625961,53.245733
214,node,119994771,bus_stop,Eisenwerk,HVV,platform,POINT (10.4692372 53.249358),no,KVG,"Lüneburg, Eisenwerk",5010;5100;5120,no,no,,,5010;5100;5120,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4692372,53.249358
216,node,7819577982,bus_stop,Gebrüder-Heyn-Straße,HVV,platform,POINT (10.4656699 53.248161),no,KVG,"Lüneburg, Gebrüder-Heyn-Straße",5010,no,no,,,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4656699,53.248161
218,node,373161834,bus_stop,Hagen-Schule,HVV,platform,POINT (10.4473637 53.2440639),no,KVG,"Lüneburg, Hagen/Schule",5012;5100;5120;5300;5304;5362;5402;5700,no,yes,,yes,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4473637,53.2440639
220,node,119100610,bus_stop,Wacholderweg,HVV,platform,POINT (10.4425033 53.2452459),,KVG,"Lüneburg, Wacholderweg",5012,,,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4425033,53.2452459
222,node,301874635,bus_stop,Ahornweg,HVV,platform,POINT (10.4381585 53.2465445),,KVG,"Lüneburg, Ahornweg",5012,,,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4381585,53.2465445
224,node,672754332,bus_stop,Adendorfer Straße,,platform,POINT (10.5003095 53.2907226),no,,"Scharnebeck, Adendorfer Straße",5110;5120;5901,no,no,,,,,,,,,,,,no,2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5003095,53.2907226
226,node,494088099,bus_stop,Boltersener Straße,,platform,POINT (10.5367548 53.2835213),no,,,5110,no,no,,,,,,,,no,,,,,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5367548,53.2835213
227,node,4346393490,bus_stop,"Boltersen, Rullstorfer Straße",HVV,platform,POINT (10.5655161 53.2754359),no,KVG,,5110,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5655161,53.2754359
228,node,324239002,bus_stop,Nutzfelder Weg,HVV,platform,POINT (10.5301085 53.2861568),no,,"Rullstorf, Nutzfelder Weg",5110,no,no,,,,,,,,no,,,,,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5301085,53.2861568
229,node,1050068557,bus_stop,Hauptstraße,HVV,platform,POINT (10.5054053 53.2911209),,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5054053,53.2911209
230,node,2869209506,bus_stop,Sportzentrum,HVV,platform,POINT (10.4553245 53.2890979),yes,,"Adendorf, Sportzentrum",,yes,no,,,5007,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4553245,53.2890979
231,node,476600749,bus_stop,Grundschule,HVV,platform,POINT (10.5095283 53.2926817),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5095283,53.2926817
235,node,304638989,bus_stop,Weinbergsweg Schule,HVV,platform,POINT (10.4327074 53.2822368),yes,KVG,"Adendorf, Weinbergsweg Schule",,yes,no,,,,,,,,yes,,,,yes,2020-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4327074,53.2822368
237,node,339024845,bus_stop,Meisterstraße,,platform,POINT (10.5102281 53.2939604),yes,,"Scharnebeck, Meisterstraße",5104;5110;5901,yes,no,,,,,,,,,,,,,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5102281,53.2939604
238,node,489755319,bus_stop,Jürgenstorfer Straße,HVV,platform,POINT (10.5973461 53.3233128),,,"Jürgenstorf, Jürgenstorfer Straße",5102;5104;5901;5917,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5973461,53.3233128
239,node,30093348,bus_stop,K 2 / Zum Bahnhof,HVV,platform,POINT (10.528343 53.2892813),no,,"Rullstorf, K 2 / Zum Bahnhof",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.528343,53.2892813
240,node,1204223255,bus_stop,Alte Dorfstraße,HVV,platform,POINT (10.5397765 53.2891528),no,,"Rullstorf, Alte Dorfstraße",,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5397765,53.2891528
241,node,567004808,bus_stop,"Scharnebeck, Echemer Straße",,platform,POINT (10.5057743 53.297607),,,,5902;5931,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5057743,53.297607
243,node,1086281126,bus_stop,"Lentenau, K28",HVV,platform,POINT (10.5054742 53.2755473),yes,,,,yes,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5054742,53.2755473
247,node,5113420637,bus_stop,"Reinstorf, Reinstorfer Kreuz",HVV,platform,POINT (10.5684264 53.220633),no,,,5300;5304,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5684264,53.220633
249,node,416969347,bus_stop,Im Sande,HVV,platform,POINT (10.2803467 53.2301573),,KVG,"Kirchgellersen, Im Sande",5200;5201;5202;5203;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2803467,53.2301573
252,node,266917632,bus_stop,Kirche,HVV,platform,POINT (10.2939288 53.2303584),,KVG,"Kirche, Kirchgellersen",,yes,,,,5200,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2939288,53.2303584
253,node,8708546811,bus_stop,Im Wiesengrund,HVV,platform,POINT (10.3009457 53.2311062),,KVG,"Kirchgellersen, Im Wiesengrund",,yes,,,,5200,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3009457,53.2311062
255,node,3060045192,bus_stop,Landwehr,HVV,platform,POINT (10.3957654 53.2839468),,KVG,"Lüneburg, Landwehr",4714;5002;5402;5405;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3957654,53.2839468
256,node,454631858,bus_stop,Hagemannsweg,HVV,platform,POINT (10.3983505 53.2810195),,KVG,"Lüneburg, Hagemannsweg",,yes,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3983505,53.2810195
257,node,417443430,bus_stop,Schulzentrum,HVV,platform,POINT (10.4967743 53.2896025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4967743,53.2896025
271,node,1705557196,bus_stop,Floetstraße,HVV,platform,POINT (10.4091665 53.1800477),,,"Melbeck, Floetstraße",,,,,,5600; 5606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4091665,53.1800477
272,node,277399793,bus_stop,Rote Schleuse,,platform,POINT (10.410347 53.2094935),no,,"Lüneburg, Rote Schleuse",5020;5606,no,no,,yes,,,,,,no,,,,,,,,,,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,10.410347,53.2094935
274,node,8524206695,bus_stop,"Melbeck, Uelzener Straße",hvv,platform,POINT (10.4178352 53.1752435),,,,,,,,,5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4178352,53.1752435
275,node,3037235993,bus_stop,Bernhard-Riemann-Straße,HVV,platform,POINT (10.4054578 53.22347),no,KVG,"Lüneburg, Bernhard-Riemann-Straße",,no,,,,5601; 5605; 5606; 5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4054578,53.22347
280,node,244401296,bus_stop,Von-Stauffenberg-Straße,HVV,platform,POINT (10.4401651 53.282214),yes,,"Adendorf, Von-Stauffenberg-Straße",,no,no,,,5007,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4401651,53.282214
281,node,301562193,bus_stop,Rauher Weg,HVV,platform,POINT (10.434875 53.276487),yes,KVG,"Adendorf, Rauher Weg",,yes,yes,,,,,,,,,,,,,2021-03-20,,,Position eingemessen,,,,,,,,,,,,,,,,,,,,,,,,,10.434875,53.276487
283,node,558971480,bus_stop,"Heiligenthal, Ort",HVV,platform,POINT (10.3359066 53.2202422),,KVG,,5201;5203,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3359066,53.2202422
285,node,470937620,bus_stop,In de Tüünen,HVV,platform,POINT (10.336901 53.2195772),,KVG,,,no,,,,5201,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.336901,53.2195772
287,node,503301564,bus_stop,Heiligenthaler Straße,HVV,platform,POINT (10.3021503 53.2287282),,KVG,,,,,,,5201,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3021503,53.2287282
290,node,564137024,bus_stop,"Melbeck, Danziger Straße",,platform,POINT (10.3722583 53.1809678),,,,5600;5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3722583,53.1809678
291,node,577366509,bus_stop,"Embsen, Siedlung",,platform,POINT (10.3612379 53.1806562),,,,5600;5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3612379,53.1806562
292,node,287098768,bus_stop,Kulturforum Wienebüttel,HVV,platform,POINT (10.3744107 53.2644052),,KVG,"Lüneburg, Kulturforum Wienebüttel",5009;ASM,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3744107,53.2644052
293,node,577733836,bus_stop,"Brietlingen, Schierenweg",,platform,POINT (10.4343011 53.3141351),yes,,,5900;5903;5904;ASM,yes,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4343011,53.3141351
294,node,382009302,bus_stop,"Brietlingen, Moorweg",,platform,POINT (10.4397463 53.3174256),yes,,,5903;5904;ASM,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4397463,53.3174256
295,node,309229350,bus_stop,Ritzkamper Weg,HVV,platform,POINT (10.4574358 53.327569),yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4574358,53.327569
297,node,346183779,bus_stop,Schwarzer Weg,HVV,platform,POINT (10.428384 53.2715467),no,KVG,"Lüneburg, Schwarzer Weg",,no,no,,yes,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.428384,53.2715467
298,node,302310334,bus_stop,Gut Olm,HVV,platform,POINT (10.4541438 53.2614926),,KVG,"Lüneburg, Gut Olm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4541438,53.2614926
300,node,7051227607,bus_stop,Abzweigung Ebensberg,HVV,platform,POINT (10.4600774 53.2637503),,KVG,"Lüneburg, Abzweigung Ebensberg",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4600774,53.2637503
302,node,4338084488,bus_stop,Erbstorfer Landstraße,HVV,platform,POINT (10.4778683 53.2739834),,KVG,"Erbstorf, Erbstorfer Landstraße",5110;5901;5925;5931;AST,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4778683,53.2739834
304,node,988590957,bus_stop,Hölderlinstraße,HVV,platform,POINT (10.4436723 53.2608865),,KVG,"Lüneburg, Hölderlinstraße",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4436723,53.2608865
305,node,290823819,bus_stop,"Wendewisch, Campingplatz",,platform,POINT (10.6501668 53.3587971),,,,5102;5152-AST,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6501668,53.3587971
306,node,1049251506,bus_stop,"Riecklingen, Abzweigung",,platform,POINT (10.7099559 53.205882),,,,5302,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7099559,53.205882
307,node,317985520,bus_stop,Leestahl 2,,platform,POINT (10.6997246 53.2079337),,,,5302,no,,,,,,,,,,,,,,,,,,,,,,,,,,"Am Haltestellenschild steht noch der Name ""Leestahl"".",,,,,,,,,,,,,,,,10.6997246,53.2079337
309,node,1854036439,bus_stop,Am Kirchkamp,,platform,POINT (10.6965007 53.1789467),,,"Dumstorf, Am Kirchkamp",5302,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6965007,53.1789467
310,node,121136981,bus_stop,Schule A,HVV,platform,POINT (10.5369096 53.2254603),,,"Barendorf, Schule",5300;5304;5362;AST,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5369096,53.2254603
312,node,277260345,bus_stop,"Embsen, Bahnhofstraße",,platform,POINT (10.3454169 53.177286),yes,,,5600;5606,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3454169,53.177286
314,node,663386180,bus_stop,"Embsen, Querlberg",,platform,POINT (10.3510466 53.1737042),,,,5600;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3510466,53.1737042
315,node,413541248,bus_stop,"Horndorf, Zur Doven Elbe",,platform,POINT (10.5885781 53.2144044),yes,,,5300;5304;5361;5362,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5885781,53.2144044
316,node,8716573169,bus_stop,"Reinstorf, Hauptstraße",,platform,POINT (10.5723353 53.2342885),,,,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5723353,53.2342885
317,node,1509822736,bus_stop,Forsthaus,HVV,platform,POINT (10.3455259 53.1658521),,,"Embsen, Forsthaus",5600,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3455259,53.1658521
318,node,8717776249,bus_stop,"Barum, Abzweig Horburg",HVV,platform,POINT (10.404422 53.353689),no,KVG,,5405;5904,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.404422,53.353689
319,node,9028751775,bus_stop,"Barum, Am See",HVV,platform,POINT (10.411604 53.3506593),no,KVG,,5904,no,no,,,,,,,,no,,,,,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.411604,53.3506593
321,node,5239244504,bus_stop,"Oerzen, Fliederstraße",,platform,POINT (10.327642 53.1921149),,,,5203;5700;5705,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.327642,53.1921149
323,node,2075922410,bus_stop,Hohe Luft,HVV,platform,POINT (10.4174102 53.1751221),,,"Melbeck, Hohe Luft",,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4174102,53.1751221
324,node,277404766,bus_stop,"Bavendorf, Im Dorfe",,platform,POINT (10.6393535 53.1958992),,,,5303;5361;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6393535,53.1958992
326,node,109400356,bus_stop,"Reinstorf, Am Vitusbach",,platform,POINT (10.5723556 53.2346506),,,,5110;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5723556,53.2346506
327,node,317549254,bus_stop,Neumühlener Weg,HVV,platform,POINT (10.5683419 53.289706),no,,"Neu Boltersen, Neumühler Weg",5110,no,no,,,,,,,,,,,,,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5683419,53.289706
328,node,728601562,bus_stop,Möhlenkamp,HVV,platform,POINT (10.5603385 53.2898973),no,,"Neu Boltersen, Möhlenkamp",,yes,no,,,,,,,,,,,,,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5603385,53.2898973
333,node,2117470702,bus_stop,Auf der Hausstelle,,platform,POINT (10.4764512 53.217232),,,,5361;5362,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4764512,53.217232
334,node,114244030,bus_stop,Feuerwehr,HVV,platform,POINT (10.4695606 53.2158292),yes,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4695606,53.2158292
335,node,1736935361,bus_stop,Ostlandring,HVV,platform,POINT (10.4399979 53.242081),no,KVG,"Lüneburg, Ostlandring",,no,no,,yes,5010,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4399979,53.242081
336,node,285670612,bus_stop,Freibad,HVV,platform,POINT (10.4423226 53.2409945),no,KVG,Lüneburg Freibad,,no,no,,yes,5010,,,,,no,20141210,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4423226,53.2409945
