,name,element_type,osmid,x,y,geometry,passengers,cluster
136,Hopfengarten,node,1181280913,10.4278875,53.2510849,POINT (10.4278875 53.2510849),10,1.0
137,Wielandstraße,node,1181280956,10.4108562,53.2377319,POINT (10.4108562 53.2377319),9,11.0
138,Hans-Steffens-Weg,node,1181280963,10.4349723,53.2509447,POINT (10.4349723 53.2509447),4,1.0
139,Gaußstraße,node,1181280987,10.4047485,53.222771,POINT (10.4047485 53.222771),4,4.0
140,Heinrich-Böll-Straße,node,1181281148,10.4039471,53.2267352,POINT (10.4039471 53.2267352),5,11.0
141,Carl-von-Ossietzky-Straße,node,1187269501,10.4015929,53.2275296,POINT (10.4015929 53.2275296),5,4.0
142,Otto-Brenner-Straße,node,1195426701,10.478437,53.2423045,POINT (10.478437 53.2423045),5,1.0
143,Flugplatz,node,1195426702,10.4592049,53.2448717,POINT (10.4592049 53.2448717),7,1.0
144,Walter-Bötcher-Straße,node,1195426707,10.4459578,53.2455633,POINT (10.4459578 53.2455633),5,1.0
145,Stadtkoppel,node,1195426708,10.4492537,53.2461948,POINT (10.4492537 53.2461948),3,1.0
146,Kurt-Höbold-Straße,node,1195426715,10.4778019,53.2402935,POINT (10.4778019 53.2402935),2,1.0
147,Richard-Brauer-Straße,node,1195426718,10.4429666,53.2447657,POINT (10.4429666 53.2447657),2,1.0
148,Elso-Klöver-Straße,node,1195426726,10.477347,53.2465791,POINT (10.477347 53.2465791),5,1.0
149,Gellersstraße,node,1195426727,10.4300483,53.2478555,POINT (10.4300483 53.2478555),8,6.0
150,Wilhelm-Fressel-Straße,node,1195426730,10.4760492,53.2390287,POINT (10.4760492 53.2390287),8,3.0
151,Schildsteinweg,node,1321746678,10.3914278,53.2407532,POINT (10.3914278 53.2407532),3,5.0
152,Finanzamt,node,1348734466,10.4121817,53.2554488,POINT (10.4121817 53.2554488),4,8.0
153,Auf dem Schmaarkamp,node,1348734468,10.4105509,53.2603115,POINT (10.4105509 53.2603115),3,12.0
154,Auf der Hude,node,1348734473,10.4136152,53.2583328,POINT (10.4136152 53.2583328),0,
155,Tennispark,node,1349023125,10.3849925,53.2598361,POINT (10.3849925 53.2598361),5,9.0
156,Brockwinkler Weg,node,1349023151,10.3866216,53.256493,POINT (10.3866216 53.256493),2,9.0
157,Neu Häcklingen,node,1580923936,10.4055348,53.2094134,POINT (10.4055348 53.2094134),5,4.0
158,Zeltberg,node,1757030062,10.4069669,53.2650556,POINT (10.4069669 53.2650556),2,13.0
159,Pumpenstation,node,1781853981,10.3675583,53.2652064,POINT (10.3675583 53.2652064),2,9.0
160,Vrestorfer Weg,node,2015120617,10.4260987,53.2788106,POINT (10.4260987 53.2788106),2,15.0
161,Teufelsküche,node,2328939473,10.384344,53.2382175,POINT (10.384344 53.2382175),9,10.0
162,Ernst-Braune-Straße,node,2632455483,10.388196,53.23946,POINT (10.388196 53.23946),8,5.0
163,Leuphana,node,2745085368,10.4010697,53.2300356,POINT (10.4010697 53.2300356),5,0.0
164,Lüner Rennbahn,node,2848418354,10.4227875,53.2748865,POINT (10.4227875 53.2748865),8,13.0
165,Schlachthof,node,2848418355,10.4249277,53.2727519,POINT (10.4249277 53.2727519),9,13.0
166,Auf den Blöcken,node,2878572398,10.4613219,53.2384976,POINT (10.4613219 53.2384976),8,3.0
167,Bessemerstraße,node,2973160587,10.4128482,53.2697777,POINT (10.4128482 53.2697777),1,13.0
168,SZ Kaltenmoor,node,3007498666,10.4362805,53.2390035,POINT (10.4362805 53.2390035),6,7.0
