,Unnamed: 0,element_type,osmid,x,y,geometry,passengers,cluster,name
156,537,node,1349023151,10.3866216,53.256493,POINT (10.3866216 53.256493),6,7,Brockwinkler Weg
157,557,node,1580923936,10.4055348,53.2094134,POINT (10.4055348 53.2094134),3,3,Neu Häcklingen
158,570,node,1757030062,10.4069669,53.2650556,POINT (10.4069669 53.2650556),0,,Zeltberg
159,574,node,1781853981,10.3675583,53.2652064,POINT (10.3675583 53.2652064),4,7,Pumpenstation
160,643,node,2015120617,10.4260987,53.2788106,POINT (10.4260987 53.2788106),8,14,Vrestorfer Weg
161,656,node,2328939473,10.384344,53.2382175,POINT (10.384344 53.2382175),15,4,Teufelsküche
162,669,node,2632455483,10.388196,53.23946,POINT (10.388196 53.23946),7,8,Ernst-Braune-Straße
163,677,node,2745085368,10.4010697,53.2300356,POINT (10.4010697 53.2300356),3,2,Leuphana
164,687,node,2848418354,10.4227875,53.2748865,POINT (10.4227875 53.2748865),4,14,Lüner Rennbahn
165,688,node,2848418355,10.4249277,53.2727519,POINT (10.4249277 53.2727519),8,14,Schlachthof
166,689,node,2878572398,10.4613219,53.2384976,POINT (10.4613219 53.2384976),4,1,Auf den Blöcken
167,710,node,2973160587,10.4128482,53.2697777,POINT (10.4128482 53.2697777),4,12,Bessemerstraße
168,713,node,3007498666,10.4362805,53.2390035,POINT (10.4362805 53.2390035),7,6,SZ Kaltenmoor
169,714,node,3008184424,10.3697803,53.2139069,POINT (10.3697803 53.2139069),2,0,Rettmer (Mitte)
170,727,node,3010809632,10.4233448,53.2609955,POINT (10.4233448 53.2609955),5,14,Kloster Lüne
171,734,node,3046813394,10.3977854,53.2356105,POINT (10.3977854 53.2356105),7,3,Hasenburger Berg
172,736,node,3046813396,10.3988728,53.2370178,POINT (10.3988728 53.2370178),7,3,Zentralfriedhof
173,738,node,3056385717,10.3850037,53.2362354,POINT (10.3850037 53.2362354),11,4,Am Eiskeller
174,739,node,3056385718,10.3884282,53.2356314,POINT (10.3884282 53.2356314),3,4,Auf dem Knieberg
175,740,node,3056385719,10.3931163,53.235028,POINT (10.3931163 53.235028),5,4,Heidkamp
176,741,node,3056385720,10.3876742,53.2375288,POINT (10.3876742 53.2375288),12,8,Meinekenhop
177,742,node,3056385721,10.38936,53.2358785,POINT (10.38936 53.2358785),6,4,Ringstraße
178,744,node,3109981532,10.4016865,53.241219,POINT (10.4016865 53.241219),5,3,Soltauer Straße (Kurzentrum)
179,759,node,3136293741,10.4094815,53.2457263,POINT (10.4094815 53.2457263),8,9,Clamartpark
180,760,node,3191900781,10.3973858,53.2331247,POINT (10.3973858 53.2331247),5,9,Hasenburger Schule
181,761,node,3191932659,10.3809308,53.2237159,POINT (10.3809308 53.2237159),12,4,Rosenkamp Wendeplatz
182,763,node,3191932961,10.3918692,53.2298285,POINT (10.3918692 53.2298285),4,2,Övelgönner Weg
183,784,node,3227603542,10.4086651,53.2627692,POINT (10.4086651 53.2627692),1,12,Königsberger Straße
184,791,node,3233157084,10.4180528,53.2668709,POINT (10.4180528 53.2668709),2,12,Am Graben
185,793,node,3233157086,10.4098875,53.2716586,POINT (10.4098875 53.2716586),1,12,Böcklerstraße/TÜV
186,795,node,3233157088,10.4189258,53.2623711,POINT (10.4189258 53.2623711),1,11,Eisenbahnbrücke
187,797,node,3233157090,10.4181483,53.2646288,POINT (10.4181483 53.2646288),3,12,Goseburgstraße
188,799,node,3233157092,10.4165325,53.2608424,POINT (10.4165325 53.2608424),0,,Ilmenaucenter
189,801,node,3233157094,10.4169116,53.2561248,POINT (10.4169116 53.2561248),8,14,Konrad-Zuse-Allee
190,806,node,3241135968,10.4232857,53.2813577,POINT (10.4232857 53.2813577),1,14,EDEKA
191,809,node,3273986768,10.3863261,53.2570492,POINT (10.3863261 53.2570492),0,,Brockwinklerweg
192,813,node,3338569132,10.4132004,53.2387357,POINT (10.4132004 53.2387357),9,11,An der Roten Bleiche (Universität)
193,814,node,3338569134,10.4137315,53.2420275,POINT (10.4137315 53.2420275),8,11,Feldstraße (Universität)
194,815,node,3348003479,10.3982108,53.2619427,POINT (10.3982108 53.2619427),3,14,GHS Kreideberg
195,816,node,3348003480,10.3913545,53.2558772,POINT (10.3913545 53.2558772),5,10,Herderschule
196,817,node,3348003482,10.4164645,53.2323864,POINT (10.4164645 53.2323864),9,11,Spechtsweg
197,823,node,3350545356,10.4842206,53.2356735,POINT (10.4842206 53.2356735),13,5,Kanalbrücke
198,886,node,3770564722,10.3723079,53.2104621,POINT (10.3723079 53.2104621),2,0,Veilchenring
199,1156,node,6104223415,10.4329656,53.2528511,POINT (10.4329656 53.2528511),4,13,Tartuer Platz
200,1193,node,7061659845,10.4451221,53.2312612,POINT (10.4451221 53.2312612),9,6,Konrad-Adenauer-Straße Ost
